neighborhood,year,month,incident_type,response_min
Logan Square,2019,6,Medical,11.08
Morgan Park,2022,4,Police,9.82
Grand Boulevard,2024,12,Police,11.2
Near West Side,2024,11,Medical,6.44
Portage Park,2021,3,Medical,7.35
Rogers Park,2024,11,Police,7.56
Kenwood,2021,4,Police,12.05
Near North Side,2022,9,Medical,5.04
Washington Park,2024,8,Police,9.79
Near South Side,2019,11,Medical,12.58
West Town,2021,8,Medical,11.13
Rogers Park,2019,1,Fire,14.91
Irving Park,2020,5,Fire,9.66
Near North Side,2019,6,Medical,7.6
West Town,2022,9,Police,7.81
Near South Side,2024,10,Medical,6.55
Near West Side,2024,10,Police,11.99
Chatham,2023,6,Medical,6.39
Washington Park,2022,1,Medical,8.21
Riverdale,2020,1,Police,11.17
West Pullman,2024,12,Police,9.22
West Englewood,2019,7,Medical,9.82
Beverly,2021,3,Medical,4.27
Hyde Park,2022,7,Medical,6.23
Portage Park,2024,5,Police,9.34
West Englewood,2021,1,Police,14.33
Edison Park,2019,11,Fire,5.38
Humboldt Park,2024,8,Police,12.56
Albany Park,2020,9,Police,14.7
West Ridge,2022,6,Medical,2.23
Jefferson Park,2021,2,Medical,8.74
Uptown,2024,9,Medical,8.23
Near South Side,2022,2,Medical,10.58
Hyde Park,2024,6,Medical,7.73
Edison Park,2022,10,Fire,8.74
West Ridge,2021,4,Police,8.98
Lincoln Park,2020,6,Medical,2.44
South Shore,2022,4,Police,9.78
Chatham,2020,11,Police,11.78
Hyde Park,2020,3,Police,10.08
Washington Park,2019,12,Medical,8.14
Irving Park,2024,11,Fire,6.22
Lake View,2021,8,Medical,2.36
Englewood,2019,5,Police,8.78
Auburn Gresham,2023,1,Medical,7.94
West Town,2024,8,Medical,11.55
Greater Grand Crossing,2019,3,Police,9.63
West Town,2022,4,Medical,7.6
Grand Boulevard,2022,9,Medical,12.44
Lincoln Park,2022,3,Police,5.32
Near South Side,2023,5,Police,7.44
Grand Boulevard,2020,12,Medical,11.22
Austin,2022,8,Fire,9.45
West Town,2024,6,Police,4.23
Washington Park,2024,3,Medical,10.47
Greater Grand Crossing,2019,8,Medical,11.06
Portage Park,2020,5,Police,9.87
West Town,2019,6,Police,13.79
Lincoln Square,2019,11,Police,10.59
Near South Side,2022,3,Medical,8.95
Logan Square,2019,8,Police,10.95
Douglas,2023,4,Medical,13.37
Near West Side,2024,9,Medical,6.23
Englewood,2024,5,Medical,6.53
Humboldt Park,2024,1,Medical,10.11
Lincoln Square,2020,9,Medical,11.6
Woodlawn,2022,8,Fire,7.91
Chatham,2022,5,Medical,7.06
South Shore,2019,3,Fire,10.11
West Englewood,2019,9,Police,8.04
Edison Park,2021,12,Fire,5.86
Austin,2021,7,Police,10.78
Greater Grand Crossing,2022,12,Medical,7.94
Roseland,2022,11,Police,13.97
North Lawndale,2019,8,Medical,12.65
West Ridge,2023,3,Fire,9.78
Logan Square,2023,6,Police,5.66
Lincoln Square,2024,12,Police,11.02
Hyde Park,2019,4,Police,6.43
Washington Park,2021,3,Medical,10.01
Roseland,2021,4,Medical,4.02
Portage Park,2023,2,Medical,7.65
Near North Side,2022,5,Police,5.57
Pullman,2019,8,Medical,9.25
Albany Park,2024,5,Medical,7.22
Washington Heights,2024,2,Fire,15.15
Logan Square,2022,7,Fire,6.9
Pullman,2021,8,Medical,8.42
Near North Side,2023,11,Fire,6.33
Greater Grand Crossing,2022,12,Police,10.23
Loop,2021,4,Medical,6.35
Lincoln Square,2021,3,Medical,9.11
Near North Side,2024,8,Police,5.23
Rogers Park,2021,10,Police,13.16
Logan Square,2022,2,Medical,3.69
Douglas,2020,7,Police,17.65
Near South Side,2023,10,Police,9.5
Douglas,2021,8,Fire,9.49
South Shore,2022,5,Medical,9.47
Jefferson Park,2024,7,Medical,10.32
Hyde Park,2019,12,Medical,7.72
Jefferson Park,2024,9,Medical,16.78
West Town,2023,8,Medical,8.19
Albany Park,2019,5,Police,8.76
Kenwood,2019,4,Medical,9.05
Edison Park,2024,3,Fire,8.59
Kenwood,2022,6,Police,11.68
Austin,2024,4,Police,8.71
Hyde Park,2020,11,Medical,6.56
Woodlawn,2022,4,Police,14.05
Auburn Gresham,2022,7,Police,7.48
Lincoln Square,2023,10,Police,8.77
Kenwood,2022,5,Police,6.1
Near West Side,2023,1,Police,10.49
Greater Grand Crossing,2021,5,Medical,9.85
Washington Heights,2023,6,Medical,8.09
Albany Park,2022,1,Police,7.82
Washington Park,2021,3,Police,8.27
North Lawndale,2021,6,Medical,7.15
Near West Side,2020,7,Medical,8.4
Greater Grand Crossing,2024,7,Medical,6.93
Albany Park,2022,7,Police,8.51
Riverdale,2019,9,Medical,9.73
Lake View,2024,2,Medical,7.03
West Englewood,2022,3,Police,17.28
Englewood,2019,7,Medical,12.17
Riverdale,2024,6,Police,11.9
Near South Side,2020,1,Medical,9.07
West Garfield Park,2022,10,Medical,13.77
Douglas,2024,7,Fire,8.44
Auburn Gresham,2020,2,Fire,9.0
West Town,2019,4,Medical,9.51
West Englewood,2023,7,Medical,8.51
South Shore,2022,4,Police,10.03
Near North Side,2021,6,Police,6.0
West Pullman,2021,11,Fire,11.51
Portage Park,2020,9,Medical,14.65
Albany Park,2023,5,Police,10.08
Jefferson Park,2021,3,Medical,5.15
Humboldt Park,2021,6,Police,15.91
Logan Square,2022,4,Medical,7.95
Washington Park,2021,9,Medical,10.58
West Ridge,2019,2,Fire,14.52
West Englewood,2020,10,Medical,9.13
Near North Side,2024,5,Medical,6.04
Near South Side,2021,9,Medical,7.95
North Lawndale,2022,10,Police,13.04
Uptown,2024,7,Police,8.76
Washington Heights,2019,5,Police,7.59
Morgan Park,2024,8,Police,13.42
Portage Park,2021,2,Medical,12.44
Washington Heights,2020,4,Police,11.52
Kenwood,2020,6,Police,11.55
Near West Side,2020,7,Police,10.73
Lincoln Square,2021,11,Medical,8.92
Hyde Park,2019,8,Medical,10.16
Beverly,2023,4,Medical,6.58
West Pullman,2024,9,Medical,8.51
Washington Heights,2020,7,Medical,5.08
Greater Grand Crossing,2019,2,Police,13.48
Mount Greenwood,2022,9,Medical,6.1
Auburn Gresham,2022,7,Police,10.81
Riverdale,2019,5,Medical,14.65
Greater Grand Crossing,2022,3,Police,11.58
Uptown,2022,9,Medical,7.11
Jefferson Park,2020,7,Medical,7.12
Edison Park,2021,3,Medical,9.37
Riverdale,2021,5,Medical,9.52
Lincoln Park,2021,3,Medical,5.08
Morgan Park,2021,3,Police,12.64
Washington Heights,2019,12,Medical,7.62
Lincoln Square,2020,7,Fire,8.56
Logan Square,2019,9,Medical,2.97
West Ridge,2024,5,Medical,10.94
Lake View,2024,12,Police,3.16
Woodlawn,2022,11,Police,8.52
West Pullman,2020,4,Police,8.87
Near South Side,2023,4,Police,10.43
Edison Park,2021,3,Medical,4.93
Beverly,2024,8,Medical,9.49
Edison Park,2024,10,Police,4.79
Uptown,2022,12,Police,11.24
Uptown,2021,1,Police,12.06
Douglas,2021,3,Medical,6.89
Lincoln Park,2021,2,Medical,9.38
West Ridge,2024,12,Medical,9.59
Grand Boulevard,2023,11,Police,10.54
West Ridge,2022,11,Police,9.93
Beverly,2021,12,Police,7.68
West Garfield Park,2021,7,Medical,8.38
West Englewood,2020,6,Medical,11.64
Englewood,2021,1,Fire,13.01
Grand Boulevard,2020,3,Police,10.34
Roseland,2022,11,Medical,7.31
Edison Park,2022,4,Medical,7.63
Douglas,2022,10,Medical,5.4
Greater Grand Crossing,2020,11,Police,9.31
Lake View,2024,7,Police,7.47
Logan Square,2024,3,Police,7.96
Chatham,2023,4,Medical,14.03
Pullman,2023,11,Medical,6.46
Austin,2024,7,Medical,9.15
Roseland,2024,4,Medical,11.26
Austin,2021,9,Police,9.54
Irving Park,2022,12,Police,9.5
West Garfield Park,2024,6,Police,11.96
Austin,2019,2,Medical,9.09
Irving Park,2024,11,Medical,8.19
Edison Park,2021,1,Fire,8.57
Loop,2024,8,Police,3.96
Uptown,2023,11,Police,8.85
Austin,2023,3,Fire,8.79
Roseland,2022,7,Police,7.69
Grand Boulevard,2020,4,Fire,5.45
South Shore,2021,3,Police,11.6
Mount Greenwood,2020,9,Medical,3.78
Lake View,2023,6,Fire,4.3
Loop,2022,6,Police,5.32
Mount Greenwood,2023,6,Medical,7.33
Rogers Park,2022,3,Police,7.04
Roseland,2024,6,Police,9.1
Near South Side,2019,4,Fire,8.2
Loop,2020,2,Medical,4.88
Lincoln Park,2021,3,Police,3.32
Douglas,2022,4,Medical,5.5
North Lawndale,2024,11,Fire,7.77
Edison Park,2024,1,Police,2.84
Washington Heights,2019,7,Fire,9.05
West Pullman,2024,12,Medical,7.7
Riverdale,2024,5,Police,14.3
Austin,2019,12,Police,8.68
Irving Park,2020,11,Fire,7.32
Beverly,2024,9,Police,7.5
Englewood,2022,6,Police,11.56
Humboldt Park,2021,8,Fire,8.68
Greater Grand Crossing,2021,9,Medical,7.02
Riverdale,2021,6,Medical,10.15
Grand Boulevard,2023,7,Police,8.46
West Ridge,2023,6,Fire,10.66
Morgan Park,2022,6,Police,12.21
Near South Side,2024,2,Police,5.6
West Ridge,2024,5,Medical,9.33
Woodlawn,2021,6,Police,12.01
Jefferson Park,2019,10,Medical,14.56
Rogers Park,2024,5,Police,12.58
Portage Park,2021,4,Medical,11.64
Uptown,2022,12,Medical,9.14
Grand Boulevard,2021,6,Fire,9.46
Hyde Park,2020,6,Police,5.48
Lincoln Square,2021,8,Police,12.3
North Lawndale,2024,8,Medical,11.73
Lincoln Park,2024,10,Medical,3.32
West Englewood,2019,1,Fire,7.75
Douglas,2022,2,Medical,7.59
West Town,2022,11,Police,11.25
Douglas,2019,1,Police,7.59
Auburn Gresham,2022,10,Police,10.19
Irving Park,2021,7,Fire,9.49
Beverly,2022,8,Medical,7.63
North Lawndale,2021,3,Medical,8.78
West Englewood,2022,3,Medical,9.76
Roseland,2024,7,Police,8.89
Kenwood,2021,8,Fire,7.91
Roseland,2021,6,Fire,7.12
Humboldt Park,2024,8,Fire,12.44
Lincoln Park,2019,2,Police,2.85
Uptown,2019,7,Police,10.85
Austin,2024,12,Police,11.86
Near North Side,2023,5,Fire,7.14
Humboldt Park,2019,6,Medical,11.16
Jefferson Park,2021,7,Medical,8.34
West Town,2021,9,Medical,6.33
Near South Side,2022,7,Medical,9.01
West Englewood,2022,12,Medical,10.57
West Ridge,2023,11,Medical,5.19
Woodlawn,2021,1,Medical,10.62
West Ridge,2023,5,Medical,6.31
West Englewood,2021,11,Medical,16.5
North Lawndale,2019,11,Police,11.66
Humboldt Park,2022,11,Medical,8.2
Loop,2024,4,Police,6.81
North Lawndale,2024,8,Medical,7.7
Albany Park,2023,7,Medical,6.06
Washington Park,2020,4,Police,5.84
West Ridge,2024,11,Fire,7.26
Washington Park,2021,3,Police,13.64
Riverdale,2019,6,Medical,10.0
Greater Grand Crossing,2020,8,Medical,12.59
Pullman,2019,3,Medical,6.8
Humboldt Park,2019,5,Medical,13.7
Rogers Park,2021,10,Police,12.38
Austin,2019,1,Fire,11.45
Uptown,2023,10,Medical,5.45
West Englewood,2020,12,Fire,11.67
Morgan Park,2019,10,Police,11.57
Lincoln Park,2024,8,Medical,3.2
Washington Park,2024,7,Medical,9.96
Logan Square,2019,8,Medical,4.75
Englewood,2022,2,Medical,11.94
Edison Park,2022,7,Fire,10.03
Near South Side,2023,4,Police,9.88
Englewood,2024,2,Police,10.04
Lincoln Square,2022,9,Police,6.9
Washington Park,2019,5,Fire,8.66
West Town,2024,7,Medical,9.34
Lincoln Square,2019,4,Medical,13.06
Irving Park,2020,10,Medical,8.67
West Pullman,2024,11,Police,7.84
West Pullman,2022,11,Medical,10.51
South Shore,2021,4,Fire,10.24
Logan Square,2022,3,Police,8.9
Pullman,2019,1,Medical,8.01
Humboldt Park,2020,2,Medical,8.78
Loop,2022,9,Medical,12.84
North Lawndale,2020,1,Medical,9.61
Chatham,2022,5,Medical,15.18
Lincoln Park,2023,2,Medical,2.66
West Pullman,2019,4,Medical,10.48
Chatham,2019,11,Medical,6.93
West Ridge,2021,7,Medical,11.55
Grand Boulevard,2019,5,Police,10.05
Near West Side,2021,1,Fire,12.84
Pullman,2019,3,Fire,11.52
Lake View,2022,10,Medical,2.5
Near West Side,2022,9,Fire,7.65
Englewood,2023,1,Medical,11.28
Albany Park,2022,10,Medical,5.72
Washington Park,2020,4,Police,9.6
West Ridge,2022,5,Fire,4.57
Portage Park,2021,10,Police,12.43
Pullman,2024,3,Police,8.86
West Town,2023,3,Police,12.4
Jefferson Park,2024,1,Medical,10.28
Grand Boulevard,2024,6,Police,7.42
Near West Side,2020,12,Medical,5.95
Jefferson Park,2020,4,Police,9.28
West Englewood,2019,8,Police,10.98
Near South Side,2021,6,Police,8.24
Jefferson Park,2024,3,Fire,8.49
South Shore,2022,12,Medical,10.28
Near North Side,2022,7,Police,3.91
Austin,2019,3,Medical,10.56
Austin,2022,9,Medical,10.33
Riverdale,2020,8,Police,11.68
Lincoln Square,2022,3,Medical,6.19
Lincoln Square,2024,11,Police,8.92
Washington Heights,2022,2,Medical,11.29
Mount Greenwood,2020,3,Police,8.8
West Garfield Park,2021,4,Fire,21.74
Auburn Gresham,2024,3,Police,8.84
Washington Heights,2021,9,Police,9.99
Chatham,2020,12,Police,9.5
Greater Grand Crossing,2020,11,Medical,8.13
Beverly,2024,10,Police,6.71
Washington Heights,2023,2,Police,11.58
Auburn Gresham,2023,8,Medical,11.5
West Englewood,2022,7,Medical,9.71
Near North Side,2024,1,Police,2.48
Woodlawn,2024,6,Medical,8.52
South Shore,2022,6,Medical,8.4
Douglas,2023,9,Medical,8.06
Humboldt Park,2022,12,Medical,9.52
Near North Side,2021,10,Police,6.58
Auburn Gresham,2021,11,Police,11.88
Douglas,2019,8,Police,11.46
Lake View,2023,7,Medical,4.94
West Ridge,2021,7,Fire,6.41
Woodlawn,2019,5,Police,18.32
Near South Side,2020,2,Fire,4.82
Beverly,2024,10,Police,4.84
West Town,2021,12,Police,9.7
Near South Side,2019,5,Medical,4.89
Albany Park,2022,1,Police,7.75
Grand Boulevard,2024,11,Medical,9.89
Washington Heights,2019,10,Police,10.86
Lake View,2021,6,Medical,7.38
Rogers Park,2022,2,Police,10.3
Logan Square,2022,12,Medical,9.81
Near South Side,2019,1,Medical,11.55
Hyde Park,2019,1,Medical,6.16
Near South Side,2021,1,Police,4.73
North Lawndale,2022,4,Medical,18.36
Auburn Gresham,2023,12,Medical,7.69
West Pullman,2019,5,Fire,6.4
Greater Grand Crossing,2023,5,Police,8.73
West Garfield Park,2023,11,Police,10.43
West Englewood,2022,1,Medical,6.82
Portage Park,2021,12,Medical,8.63
Near South Side,2023,11,Medical,14.98
Hyde Park,2021,6,Medical,4.18
Lincoln Square,2019,3,Police,12.54
Englewood,2022,4,Police,11.39
North Lawndale,2020,5,Fire,9.41
Mount Greenwood,2022,12,Medical,5.41
West Englewood,2020,4,Medical,8.73
Morgan Park,2024,4,Medical,8.7
Chatham,2019,10,Medical,9.6
Chatham,2021,1,Fire,6.15
Beverly,2019,2,Police,11.47
Near South Side,2022,2,Medical,4.21
Logan Square,2020,2,Medical,7.2
Morgan Park,2024,10,Police,3.79
West Garfield Park,2020,1,Medical,8.5
Jefferson Park,2022,10,Police,9.09
Morgan Park,2022,8,Fire,7.53
Rogers Park,2019,1,Medical,8.44
West Ridge,2023,8,Medical,7.06
Chatham,2020,1,Fire,11.0
Riverdale,2022,10,Medical,7.61
Albany Park,2019,3,Police,8.75
Mount Greenwood,2023,9,Medical,9.46
Near South Side,2021,8,Police,7.65
South Shore,2022,2,Police,10.3
Portage Park,2023,4,Medical,8.05
Englewood,2021,8,Police,10.97
Edison Park,2024,12,Medical,5.17
Douglas,2021,9,Medical,10.08
Edison Park,2019,7,Police,7.44
West Town,2020,1,Police,10.18
West Garfield Park,2022,8,Fire,11.2
Grand Boulevard,2023,12,Medical,8.04
Kenwood,2024,1,Fire,9.91
Near West Side,2024,9,Fire,8.63
Lake View,2021,8,Police,10.39
West Pullman,2024,4,Police,9.41
Rogers Park,2020,10,Police,9.96
Grand Boulevard,2021,12,Police,13.38
Auburn Gresham,2022,11,Fire,6.78
Edison Park,2022,4,Fire,5.42
Logan Square,2024,4,Fire,9.7
Edison Park,2019,6,Medical,6.65
Grand Boulevard,2022,2,Fire,4.43
Rogers Park,2022,4,Fire,11.4
Kenwood,2022,4,Medical,10.49
West Englewood,2020,8,Police,7.82
Kenwood,2023,2,Medical,6.1
West Garfield Park,2023,8,Fire,8.44
Lake View,2024,12,Police,7.76
Loop,2022,10,Medical,4.24
Near South Side,2023,11,Police,8.53
Mount Greenwood,2024,2,Medical,6.31
Pullman,2022,9,Police,8.95
Greater Grand Crossing,2023,9,Medical,11.99
Portage Park,2023,6,Police,7.03
West Town,2024,10,Fire,11.04
Near West Side,2021,12,Medical,7.8
Near North Side,2024,5,Police,5.61
South Shore,2020,7,Police,7.34
Lake View,2021,8,Fire,4.18
Lake View,2021,8,Fire,1.91
Roseland,2023,3,Police,12.91
West Pullman,2019,3,Police,7.36
Edison Park,2019,5,Police,7.8
Albany Park,2020,5,Fire,8.27
Beverly,2022,2,Medical,4.34
West Pullman,2023,5,Medical,5.41
South Shore,2020,1,Medical,8.36
West Garfield Park,2021,11,Medical,11.17
Pullman,2023,7,Fire,8.67
Edison Park,2021,11,Medical,5.66
Mount Greenwood,2020,7,Fire,5.87
Washington Park,2019,1,Medical,9.0
Jefferson Park,2020,3,Fire,11.35
West Ridge,2024,8,Medical,5.31
West Town,2023,11,Medical,6.96
Uptown,2023,9,Fire,12.44
Greater Grand Crossing,2022,3,Police,11.67
Lincoln Square,2019,6,Fire,9.17
Humboldt Park,2023,6,Police,9.55
Morgan Park,2019,6,Medical,4.4
Morgan Park,2023,5,Medical,17.06
Washington Park,2019,6,Police,13.74
Albany Park,2024,6,Police,8.27
Near South Side,2020,10,Fire,8.88
Greater Grand Crossing,2019,6,Medical,7.55
Irving Park,2021,8,Medical,7.81
Woodlawn,2024,11,Medical,9.64
Mount Greenwood,2020,6,Fire,7.74
West Ridge,2023,12,Police,12.53
Logan Square,2023,3,Police,15.25
West Pullman,2022,7,Police,6.92
Pullman,2024,6,Fire,8.01
Austin,2021,11,Medical,7.35
West Pullman,2024,9,Fire,10.99
West Pullman,2022,4,Police,8.88
Englewood,2024,1,Fire,16.95
Portage Park,2020,6,Fire,10.43
Albany Park,2022,9,Medical,6.85
West Town,2020,8,Police,14.52
West Garfield Park,2022,2,Police,11.12
Mount Greenwood,2019,3,Police,6.17
North Lawndale,2020,8,Police,10.82
Jefferson Park,2020,12,Police,10.82
Washington Park,2019,11,Fire,8.46
Mount Greenwood,2019,9,Police,9.18
Humboldt Park,2021,8,Fire,14.36
Washington Park,2019,10,Fire,11.48
Douglas,2022,1,Police,13.17
Roseland,2019,3,Medical,11.7
Loop,2019,11,Medical,6.56
Near South Side,2020,8,Police,7.2
West Pullman,2020,1,Medical,15.74
Near South Side,2024,12,Medical,16.27
West Englewood,2019,7,Police,12.38
West Pullman,2021,4,Medical,5.27
Roseland,2020,12,Medical,13.57
Washington Heights,2022,7,Medical,15.88
Irving Park,2024,4,Medical,8.28
Morgan Park,2022,8,Medical,5.26
North Lawndale,2019,12,Police,11.93
Near South Side,2019,6,Medical,8.35
Logan Square,2021,10,Police,7.01
Near South Side,2019,10,Fire,8.56
Edison Park,2024,8,Medical,7.34
Mount Greenwood,2023,12,Police,8.01
Near North Side,2023,1,Fire,2.83
Grand Boulevard,2019,9,Police,9.14
West Pullman,2024,11,Police,8.52
Portage Park,2023,12,Medical,7.28
Douglas,2022,9,Police,10.78
Douglas,2024,6,Medical,6.33
Washington Park,2024,9,Medical,6.22
Douglas,2019,6,Police,9.62
South Shore,2022,6,Medical,9.55
Chatham,2022,4,Fire,9.15
Logan Square,2023,3,Medical,5.72
North Lawndale,2021,3,Fire,11.25
West Ridge,2022,2,Police,12.57
Chatham,2023,4,Medical,9.07
Near South Side,2021,9,Medical,9.42
West Town,2024,7,Police,9.64
Woodlawn,2023,3,Medical,8.66
Pullman,2023,8,Medical,8.68
West Town,2019,9,Fire,3.52
Grand Boulevard,2024,1,Medical,2.68
Kenwood,2024,12,Medical,8.01
Logan Square,2020,1,Police,14.24
Douglas,2021,9,Medical,7.04
Auburn Gresham,2023,9,Police,11.82
Riverdale,2022,7,Police,8.75
Uptown,2022,3,Medical,9.01
Near West Side,2020,4,Fire,10.74
Grand Boulevard,2021,7,Police,8.04
Chatham,2019,9,Police,10.63
Roseland,2021,8,Police,11.53
Washington Heights,2022,8,Fire,9.62
Washington Park,2022,1,Police,12.23
Auburn Gresham,2019,6,Medical,8.83
Edison Park,2019,6,Police,8.61
Austin,2022,5,Police,11.81
Edison Park,2023,11,Medical,8.13
Rogers Park,2023,1,Medical,10.81
Lake View,2019,3,Medical,4.42
Uptown,2024,12,Fire,7.9
Rogers Park,2023,4,Medical,8.83
Lincoln Square,2019,10,Police,10.59
Mount Greenwood,2021,7,Fire,3.76
West Englewood,2021,5,Medical,9.68
West Pullman,2021,2,Fire,7.8
Englewood,2019,3,Police,10.82
Washington Park,2019,1,Medical,10.62
Albany Park,2023,6,Medical,7.65
Near South Side,2023,8,Medical,10.29
Washington Heights,2023,4,Police,6.22
Woodlawn,2020,2,Police,13.6
Woodlawn,2019,12,Fire,11.09
West Ridge,2024,4,Police,8.99
Morgan Park,2021,10,Medical,6.51
Logan Square,2021,4,Police,6.23
Jefferson Park,2020,5,Medical,6.36
Greater Grand Crossing,2020,3,Medical,8.08
Douglas,2021,9,Medical,9.43
Hyde Park,2019,7,Police,5.44
Irving Park,2021,9,Medical,7.58
West Garfield Park,2021,7,Medical,10.24
Humboldt Park,2024,12,Fire,15.2
Humboldt Park,2020,10,Police,9.28
Englewood,2020,4,Medical,13.64
Loop,2023,5,Police,4.81
Portage Park,2020,7,Medical,6.2
Austin,2024,6,Fire,8.68
Pullman,2024,9,Medical,8.2
Lincoln Park,2021,3,Police,5.45
Near West Side,2024,8,Police,8.0
Auburn Gresham,2023,11,Medical,11.62
Lincoln Square,2021,10,Police,7.5
Lincoln Square,2019,11,Police,12.1
Loop,2019,4,Police,6.54
Albany Park,2020,9,Medical,7.24
Kenwood,2023,1,Police,9.36
West Englewood,2024,5,Police,11.6
Hyde Park,2022,12,Police,5.51
Auburn Gresham,2019,4,Medical,9.33
Beverly,2024,5,Medical,8.42
Near South Side,2019,6,Police,9.09
Mount Greenwood,2019,1,Medical,10.62
Washington Heights,2019,8,Medical,11.06
Near South Side,2020,12,Medical,5.56
Albany Park,2023,11,Medical,4.42
Beverly,2019,3,Fire,10.05
Lincoln Square,2024,7,Police,9.29
Loop,2024,7,Medical,4.05
West Garfield Park,2020,9,Police,11.02
Near North Side,2023,11,Fire,2.7
Lincoln Square,2023,11,Police,7.56
Chatham,2022,7,Police,11.4
Humboldt Park,2021,12,Medical,12.0
Uptown,2019,8,Police,11.1
Kenwood,2020,4,Police,4.71
Auburn Gresham,2023,10,Medical,8.77
Austin,2022,4,Fire,6.24
Lincoln Square,2021,10,Fire,9.42
Kenwood,2023,8,Police,9.23
Englewood,2023,4,Medical,10.81
Roseland,2019,4,Fire,12.13
North Lawndale,2021,10,Medical,11.0
Near West Side,2021,3,Medical,5.88
Pullman,2020,12,Medical,7.51
Near West Side,2022,3,Medical,8.07
Near West Side,2024,11,Medical,9.4
Douglas,2020,4,Medical,10.14
Kenwood,2022,12,Police,8.28
Irving Park,2020,2,Medical,7.87
Roseland,2022,12,Medical,11.26
Beverly,2024,3,Medical,3.77
Pullman,2019,11,Medical,5.91
Greater Grand Crossing,2022,12,Police,10.06
Near West Side,2024,2,Medical,11.65
Greater Grand Crossing,2020,11,Medical,10.72
Roseland,2021,6,Medical,9.91
Riverdale,2023,3,Police,12.45
North Lawndale,2024,2,Medical,14.61
South Shore,2024,9,Medical,10.92
Portage Park,2024,8,Police,6.46
Riverdale,2022,5,Police,13.56
West Garfield Park,2022,9,Police,9.84
Lincoln Park,2021,5,Police,2.88
Lincoln Square,2019,5,Fire,8.53
Loop,2020,11,Medical,6.52
Woodlawn,2019,11,Medical,8.94
West Town,2022,4,Police,10.51
Lincoln Park,2022,12,Medical,1.97
Humboldt Park,2024,3,Fire,12.32
Portage Park,2024,10,Fire,6.76
Washington Heights,2019,9,Police,11.33
Jefferson Park,2020,4,Medical,11.32
Hyde Park,2022,7,Police,6.13
Austin,2022,5,Police,13.55
Lake View,2019,7,Medical,4.17
Albany Park,2023,12,Medical,8.17
Uptown,2024,8,Police,7.81
Logan Square,2021,8,Medical,10.41
Roseland,2022,10,Fire,10.42
Lincoln Park,2020,6,Police,4.31
West Garfield Park,2023,5,Police,10.35
Near West Side,2019,11,Medical,8.27
West Englewood,2019,2,Fire,9.28
Hyde Park,2020,12,Medical,3.8
Lake View,2024,8,Medical,5.91
Chatham,2024,5,Medical,10.17
Auburn Gresham,2023,8,Medical,9.42
Loop,2020,6,Medical,6.23
Near South Side,2022,8,Medical,8.55
Albany Park,2023,1,Police,9.9
Lake View,2021,9,Fire,4.79
Greater Grand Crossing,2021,9,Medical,10.08
Lincoln Park,2020,3,Police,11.7
Hyde Park,2021,5,Fire,7.94
Lincoln Square,2020,12,Police,9.41
Washington Heights,2022,7,Police,10.9
Washington Heights,2024,8,Fire,9.26
West Englewood,2022,7,Medical,7.34
Rogers Park,2020,3,Medical,7.22
Kenwood,2022,7,Medical,11.5
Greater Grand Crossing,2021,1,Medical,5.95
Lincoln Park,2022,5,Medical,5.69
Morgan Park,2021,9,Police,15.99
Pullman,2024,2,Police,11.05
Loop,2024,3,Police,8.24
Kenwood,2021,9,Medical,6.56
Washington Park,2019,3,Medical,6.61
Greater Grand Crossing,2022,8,Police,10.11
Near South Side,2022,6,Police,11.47
Roseland,2020,7,Medical,7.88
Kenwood,2020,5,Medical,11.87
Roseland,2023,10,Medical,6.23
Douglas,2021,12,Medical,7.41
South Shore,2024,7,Fire,8.74
Near North Side,2024,10,Medical,4.9
West Englewood,2019,11,Medical,9.54
South Shore,2021,10,Fire,9.91
Humboldt Park,2022,3,Fire,8.09
Albany Park,2023,11,Police,15.07
Austin,2021,5,Medical,12.85
Austin,2023,6,Medical,7.97
Pullman,2021,9,Police,6.63
Washington Park,2022,4,Police,9.06
Logan Square,2022,8,Fire,10.2
Lincoln Park,2021,8,Police,4.79
Jefferson Park,2024,10,Medical,8.71
Greater Grand Crossing,2024,6,Police,12.38
Loop,2019,12,Fire,7.88
North Lawndale,2022,8,Police,13.76
Near South Side,2020,12,Police,10.27
Lincoln Square,2019,5,Police,8.77
Riverdale,2021,1,Police,11.07
Woodlawn,2019,4,Medical,12.33
Near North Side,2020,11,Police,6.58
Lincoln Park,2022,6,Police,3.16
West Town,2022,9,Medical,6.02
North Lawndale,2024,4,Police,8.59
West Pullman,2022,6,Police,5.91
Portage Park,2024,10,Medical,9.11
Loop,2020,11,Fire,7.52
Kenwood,2019,5,Medical,8.42
West Town,2021,9,Medical,15.78
Near North Side,2021,10,Police,10.35
Near South Side,2019,6,Medical,9.63
Hyde Park,2022,3,Medical,9.78
Humboldt Park,2024,2,Police,10.58
Auburn Gresham,2021,3,Fire,8.93
Near South Side,2022,6,Fire,9.75
North Lawndale,2023,10,Medical,10.05
Lake View,2023,8,Police,9.28
Uptown,2021,8,Medical,8.48
Grand Boulevard,2019,12,Police,10.89
Hyde Park,2019,5,Police,9.38
Auburn Gresham,2019,1,Fire,13.1
Kenwood,2022,1,Police,7.72
Near West Side,2023,12,Fire,7.09
Washington Park,2022,7,Medical,7.22
Near South Side,2020,2,Medical,8.58
Irving Park,2020,4,Fire,14.14
Morgan Park,2021,10,Medical,7.28
Riverdale,2020,5,Medical,9.74
